empresa;codigoarticulo;codigoparticular;articulo;rubro;costo;preciopublico;marca;superrubro;gruposuperrubro;familia;ult_fechaingreso;color;silueta;sitioparapublicar;porcentajedescuento;web
MaxPro SRL;474;323340333-X;Tornillos Modelo 644;Equipos de Seguridad;190.97;260.11;Construtek;Hogar;Medición;Goma;12/9/2024;Gris;Tornillos;;;
Construmax;475;872476877-4;Clavos Modelo 505;Herramientas Eléctricas;376.02;679.15;PowerFix;Hogar;Medición;Aluminio;6/10/2024;Blanco;Clavos;;17.0;
Construmax;476;043819773-9;Destornillador Modelo 486;Fijaciones y Anclajes;355.25;672.78;MegaTool;Hogar;Seguridad;Madera;25/5/2024;Rojo;Destornillador;;;
MaxPro SRL;477;488752968-6;Martillo Modelo 816;Equipos de Seguridad;401.44;586.78;HardyWorks;Profesional;Eléctrica;Acero;11/4/2024;Azul;Martillo;;;
MaxPro SRL;478;520414547-8;Brocas Modelo 246;Herramientas Eléctricas;240.93;455.2;FerroMax;Profesional;Eléctrica;Acero;27/7/2024;Amarillo;Brocas;;;
MaxPro SRL;479;782189371-4;Casco de seguridad Modelo 131;Fijaciones y Anclajes;215.01;352.0;BuildPro;Hogar;Seguridad;Goma;4/11/2024;Rojo;Casco de seguridad;;;
MaxPro SRL;480;952052135-6;Casco de seguridad Modelo 358;Accesorios de Construcción;23.13;35.41;Structo;Hogar;Neumática;Plástico;21/3/2024;Azul;Casco de seguridad;;41.0;
MaxPro SRL;481;391605732-4;Brocas Modelo 593;Accesorios de Construcción;385.3;692.71;BuildPro;Profesional;Eléctrica;Goma;6/7/2024;Naranja;Brocas;;24.0;
MaxPro SRL;482;281080818-X;Llave inglesa Modelo 759;Herramientas Eléctricas;259.24;425.92;FixMaster;Hogar;Neumática;Acero;15/8/2024;Gris;Llave inglesa;;20.0;
MaxPro SRL;483;730186613-5;Brocas Modelo 658;Accesorios de Construcción;320.89;603.88;FixMaster;Hogar;Neumática;Aluminio;18/12/2024;Verde;Brocas;;;
MaxPro SRL;484;741337357-2;Brocas Modelo 865;Equipos de Seguridad;461.11;751.07;Renova;Hogar;Seguridad;Aluminio;3/1/2024;Blanco;Brocas;;37.0;
Construmax;485;994429092-0;Destornillador Modelo 890;Fijaciones y Anclajes;198.38;274.61;Structo;Hogar;Seguridad;Madera;12/3/2024;Amarillo;Destornillador;;;
Construmax;486;349829754-6;Tornillos Modelo 836;Herramientas Manuales;225.1;310.89;FixMaster;Profesional;Manual;Madera;21/6/2024;Gris;Tornillos;;7.0;
Construmax;487;893889756-7;Guantes Modelo 965;Accesorios de Construcción;334.98;551.12;HardyWorks;Profesional;Eléctrica;Goma;10/9/2024;Rojo;Guantes;;;
Construmax;488;301371151-5;Espátula Modelo 383;Fijaciones y Anclajes;406.32;630.88;MegaTool;Profesional;Medición;Madera;16/12/2024;Negro;Espátula;;;
Construmax;489;486417048-7;Clavos Modelo 501;Herramientas Manuales;145.05;228.01;BuildPro;Hogar;Neumática;Aluminio;10/4/2024;Rojo;Clavos;;;
Construmax;490;173125252-8;Taladro Modelo 540;Equipos de Seguridad;322.51;529.62;BuildPro;Profesional;Eléctrica;Acero;25/3/2024;Rojo;Taladro;;;
Construmax;491;281778627-0;Cutter Modelo 656;Herramientas Manuales;310.16;498.26;FixMaster;Hogar;Neumática;Goma;25/8/2024;Blanco;Cutter;;;
MaxPro SRL;492;141901498-6;Tornillos Modelo 212;Accesorios de Construcción;247.29;345.98;BuildPro;Hogar;Manual;Madera;26/12/2024;Blanco;Tornillos;;49.0;
Construmax;493;088290455-8;Tornillos Modelo 722;Accesorios de Construcción;48.89;67.7;Structo;Hogar;Seguridad;Acero;20/5/2024;Amarillo;Tornillos;;;
MaxPro SRL;494;403933815-4;Cutter Modelo 310;Accesorios de Construcción;207.18;397.06;HardyWorks;Hogar;Medición;Goma;26/3/2024;Naranja;Cutter;;;
Construmax;495;465058568-6;Llave inglesa Modelo 699;Fijaciones y Anclajes;221.48;407.78;Renova;Hogar;Medición;Goma;5/10/2024;Naranja;Llave inglesa;;;
MaxPro SRL;496;428049024-4;Clavos Modelo 576;Fijaciones y Anclajes;65.57;80.17;Structo;Profesional;Neumática;Plástico;4/5/2024;Amarillo;Clavos;;;
MaxPro SRL;497;006582699-X;Clavos Modelo 383;Herramientas Manuales;192.7;314.94;Structo;Profesional;Manual;Acero;27/2/2024;Rojo;Clavos;;23.0;
MaxPro SRL;498;928553759-6;Cinta métrica Modelo 796;Equipos de Seguridad;292.44;536.86;BuildPro;Hogar;Eléctrica;Acero;26/9/2024;Azul;Cinta métrica;;;
Construmax;499;067809333-4;Casco de seguridad Modelo 743;Herramientas Manuales;204.88;337.33;MegaTool;Profesional;Seguridad;Madera;15/8/2024;Negro;Casco de seguridad;;;
MaxPro SRL;500;310556853-0;Destornillador Modelo 300;Herramientas Manuales;407.73;812.03;HardyWorks;Hogar;Medición;Acero;28/12/2024;Negro;Destornillador;;32.0;
